user_id,login,name,total_repos,total_stars_received,total_forks_received,avg_stars_per_repo,account_age_days,repos_per_year,followers,following,follower_ratio,h_index,impact_score,primary_languages,primary_language_1,language_diversity,industries_served,primary_industry,has_readme_pct,has_license_pct,total_open_issues,days_since_last_push,is_active
51211585,MarcoAntonioBaronEffio,Marco Antonio Barón Effio,1,3,0,3.0,2480,0.14717741935483872,5,0,5.0,1,8,Java,Java,1,1,J,0.0,0.0,0,1876,False
1689010,kelymartinezp,Kely,3,3,0,1.0,5068,0.21606156274664562,46,27,1.7037037037037037,1,49,"Ruby, JavaScript",Ruby,2,2,M,1.0,0.0,0,3277,False
117321672,JostinHv,Youssef Josten Herrera Vilchez,4,4,0,1.0,1228,1.1889250814332248,2,3,0.6666666666666666,1,6,"PHP, JavaScript, TypeScript",PHP,3,2,K,1.0,0.0,0,218,False
113204671,DianaQuintanaY,Diana Quintana,1,3,0,3.0,1282,0.28471138845553823,8,5,1.6,1,11,JavaScript,JavaScript,1,1,R,1.0,0.0,0,1274,False
17020511,juanxodj,Juan Sánchez,1,2,0,2.0,3694,0.09880887926367081,6,3,2.0,1,8,Vue,Vue,1,1,J,1.0,0.0,0,1317,False
61527316,dcajasn,Riskfolio,5,3835,615,767.0,2208,0.8265398550724637,503,0,503.0,4,5568,"C++, Jupyter Notebook, Python",C++,3,3,K,1.0,0.6,0,7,True
723723,mgonto,Martin Gontovnikas,43,9141,1071,212.58139534883722,5451,2.879288203999266,824,0,824.0,13,12107,"JavaScript, CSS, HTML",JavaScript,8,5,J,0.9302325581395349,0.3488372093023256,305,3,True
131488004,mabelolivera10,MABEL QUISPE OLIVERA,81,713,185,8.802469135802468,1058,27.944234404536864,1196,0,1196.0,11,2279,"CSS, JavaScript, HTML",CSS,3,2,J,1.0,0.0,6,130,False
10386219,YeisonBTS,Yeison Eduardo,1,3,8,3.0,4088,0.08928571428571429,2,4,0.5,1,21,AutoHotkey,AutoHotkey,1,1,R,1.0,0.0,0,2932,False
10981880,mnbucher,Martin JJ. Bucher,2,19,6,9.5,4048,0.18033596837944663,34,67,0.5074626865671642,2,65,Jupyter Notebook,Jupyter Notebook,1,2,J,1.0,0.5,0,628,False
54047442,FranH20,Franklin Huichi Contreras,2,4,1,2.0,2406,0.3034081463009144,33,41,0.8048780487804879,2,39,"Python, TypeScript",Python,2,1,J,0.5,0.5,0,817,False
52869811,kevinPerezGarcia,Kevin (Kevo) Perez Garcia,9,10,3,1.1111111111111112,2436,1.3485221674876848,29,80,0.3625,1,45,"Stata, Jupyter Notebook, TeX",Stata,3,2,M,0.8888888888888888,0.1111111111111111,1,305,False
75584352,HackUnderway,Hack Underway,26,989,195,38.03846153846154,1924,4.9324324324324325,222,0,222.0,13,1601,"Python, CSS",Python,2,4,J,1.0,0.9615384615384616,11,2,True
26855595,LaMalditaProgramadora,Jimena Alexandra Ruiz Cerna,8,40,15,5.0,3268,0.8935128518971849,202,17,11.882352941176471,4,272,"Java, C#, JavaScript",Java,3,3,P,0.125,0.0,1,633,False
81894363,cesaracjota,Cesar Acjota Merma,32,42,1,1.3125,1806,6.4673311184939095,235,4,58.75,2,279,"JavaScript, TypeScript, Java",JavaScript,9,6,J,0.9375,0.0625,6,355,False
1459760,martin-liu,Martin Liu,6,47,20,7.833333333333333,5135,0.42648490749756574,34,61,0.5573770491803278,2,121,"TypeScript, Astro, CSS",TypeScript,5,2,J,1.0,0.16666666666666666,6,17,True
29420547,rubenpazch,Ruben Paz Chuspe,41,100,5,2.4390243902439024,3196,4.68241551939925,86,138,0.6231884057971014,4,196,"Ruby, JavaScript, CSS",Ruby,6,8,J,0.975609756097561,0.12195121951219512,280,27,True
29098422,NoeMelo,Noé Melo Locumber,8,13,5,1.625,3210,0.9096573208722741,7,2,3.5,2,30,"Jupyter Notebook, JavaScript, HTML",Jupyter Notebook,3,4,J,1.0,0.0,0,1126,False
133463267,jorgemunozl,Jorge Munoz Lar,17,124,6,7.294117647058823,1037,5.983606557377049,312,1027,0.3037974683544304,7,448,"Python, Jupyter Notebook, Shell",Python,6,3,M,0.8235294117647058,0.23529411764705882,41,1,True
2133361,jmloyola,Juan Martin Loyola,7,22,7,3.142857142857143,4964,0.5147058823529412,33,25,1.32,3,69,"Python, Jupyter Notebook, TeX",Python,3,2,M,1.0,1.0,4,780,False
30003438,percyelbis,Percy Elbis Colque,19,32,1,1.6842105263157894,3172,2.1863177805800755,20,40,0.5,3,54,"Python, JavaScript, Jupyter Notebook",Python,5,4,M,0.5789473684210527,0.0,0,146,False
109693459,luccemhu,Joel Ccallocunto,2,2,1,1.0,1333,0.5476369092273068,13,35,0.37142857142857144,1,17,HTML,HTML,1,1,M,1.0,0.5,0,530,False
2969,skiz,Josh Martin,21,129,19,6.142857142857143,6576,1.165602189781022,48,32,1.5,4,215,"Ruby, JavaScript, KiCad",Ruby,4,3,J,0.9523809523809523,0.5714285714285714,1,3188,False
